"","Senator","State","first.party"
"1","Joseph Carter Abbott","North Carolina","Republican"
"2","James Abdnor","South Dakota","Republican"
"3","Hazel Abel","Nebraska","Republican"
"4","James Abourezk","South Dakota","Democratic"
"5","Spencer Abraham","Michigan","Republican"
"6","John Adair","Kentucky","Democratic-Republican"
"7","Alva B. Adams","Colorado","Democratic"
"8","Brock Adams","Washington","Democratic"
"9","John Quincy Adams","Massachusetts","Federalist"
"10","Robert H. Adams","Mississippi","Democratic"
"11","Stephen Adams","Mississippi","Democratic"
"12","George D. Aiken","Vermont","Republican"
"13","Daniel Akaka","Hawaii","Democratic"
"14","James L. Alcorn","Mississippi","Republican"
"15","Nelson W. Aldrich","Rhode Island","Republican"
"16","Russell A. Alger","Michigan","Republican"
"17","Wayne Allard","Colorado","Republican"
"18","J. Frank Allee","Delaware","Republican"
"19","George Allen","Virginia","Republican"
"20","Henry Justin Allen","Kansas","Republican"
"21","James B. Allen","Alabama","Democratic"
"22","John B. Allen","Washington","Republican"
"23","Maryon Pittman Allen","Alabama","Democratic"
"24","Philip Allen","Rhode Island","Democratic"
"25","William Allen","Ohio","Democratic"
"26","William V. Allen","Nebraska","Populist"
"27","William B. Allison","Iowa","Republican"
"28","Gordon L. Allott","Colorado","Republican"
"29","Adelbert Ames","Mississippi","Republican"
"30","Alexander O. Anderson","Tennessee","Democratic"
"31","Clinton P. Anderson","New Mexico","Democratic"
"32","Joseph Anderson","Tennessee","Democratic-Republican"
"33","Wendell Anderson","Minnesota","Democratic"
"34","Charles O. Andrews","Florida","Democratic"
"35","Mark Andrews","North Dakota","Republican"
"36","Levi Ankeny","Washington","Republican"
"37","Henry B. Anthony","Rhode Island","Republican"
"38","William S. Archer","Virginia","Whig"
"39","David H. Armstrong","Missouri","Democratic"
"40","John Armstrong Jr.","New York","Democratic-Republican"
"41","William L. Armstrong","Colorado","Republican"
"42","Samuel G. Arnold","Rhode Island","Republican"
"43","John Ashcroft","Missouri","Republican"
"44","Chester Ashley","Arkansas","Democratic"
"45","Eli P. Ashmun","Massachusetts","Federalist"
"46","Henry F. Ashurst","Arizona","Democratic"
"47","David Rice Atchison","Missouri","Democratic"
"48","Charles G. Atherton","New Hampshire","Democratic"
"49","Warren Austin","Vermont","Republican"
"50","Kelly Ayotte","New Hampshire","Republican"
"51","Nathan L. Bachman","Tennessee","Democratic"
"52","Augustus O. Bacon","Georgia","Democratic"
"53","George E. Badger","North Carolina","Whig"
"54","Arthur P. Bagby","Alabama","Democratic"
"55","James E. Bailey","Tennessee","Democratic"
"56","Joseph W. Bailey","Texas","Democratic"
"57","Josiah W. Bailey","North Carolina","Democratic"
"58","Theodorus Bailey","New York","Democratic-Republican"
"59","David Baird","New Jersey","Republican"
"60","David Baird Jr.","New Jersey","Republican"
"61","David J. Baker","Illinois","Democratic"
"62","Edward D. Baker","Oregon","Republican"
"63","Howard Baker Jr.","Tennessee","Republican"
"64","Lucien Baker","Kansas","Republican"
"65","Abraham Baldwin","Georgia","Democratic-Republican"
"66","Henry P. Baldwin","Michigan","Republican"
"67","Raymond E. Baldwin","Connecticut","Republican"
"68","Roger S. Baldwin","Connecticut","Whig"
"69","Joseph H. Ball","Minnesota","Republican"
"70","L. Heisler Ball","Delaware","Republican"
"71","John H. Bankhead","Alabama","Democratic"
"72","John H. Bankhead II","Alabama","Democratic"
"73","James Barbour","Virginia","Democratic-Republican"
"74","John S. Barbour Jr.","Virginia","Democratic"
"75","W. Warren Barbour","New Jersey","Republican"
"76","Thomas R. Bard","California","Republican"
"77","Alben W. Barkley","Kentucky","Democratic"
"78","Dean Barkley","Minnesota","Independence"
"79","Isaac D. Barnard","Pennsylvania","Democratic"
"80","William H. Barnum","Connecticut","Democratic"
"81","Robert W. Barnwell","South Carolina","Democratic"
"82","Frank A. Barrett","Wyoming","Republican"
"83","Alexander Barrow","Louisiana","Whig"
"84","Middleton P. Barrow","Georgia","Democratic"
"85","Alexander G. Barry","Oregon","Republican"
"86","William T. Barry","Kentucky","Democratic-Republican"
"87","Bob Bartlett","Alaska","Democratic"
"88","Dewey F. Bartlett","Oklahoma","Republican"
"89","David Barton","Missouri","Democratic-Republican"
"90","Ross Bass","Tennessee","Democratic"
"91","Richard Bassett","Delaware","Federalist"
"92","William B. Bate","Tennessee","Democratic"
"93","Ephraim Bateman","New Jersey","National Republican"
"94","Isaac C. Bates","Massachusetts","Whig"
"95","Martin W. Bates","Delaware","Democratic"
"96","Max Baucus","Montana","Democratic"
"97","James A. Bayard Jr.","Delaware","Democratic"
"98","James A. Bayard Sr.","Delaware","Federalist"
"99","Richard H. Bayard","Delaware","Whig"
"100","Thomas F. Bayard Jr.","Delaware","Democratic"
"101","Thomas F. Bayard Sr.","Delaware","Democratic"
"102","Birch Bayh","Indiana","Democratic"
"103","Evan Bayh","Indiana","Democratic"
"104","James Glenn Beall","Maryland","Republican"
"105","John Glenn Beall Jr.","Maryland","Republican"
"106","James B. Beck","Kentucky","Democratic"
"107","J. C. W. Beckham","Kentucky","Democratic"
"108","Asahel C. Beckwith","Wyoming","Democratic"
"109","Mark Begich","Alaska","Democratic"
"110","Charles H. Bell","New Hampshire","Republican"
"111","James Bell","New Hampshire","Whig"
"112","John Bell","Tennessee","Whig"
"113","Samuel Bell","New Hampshire","Democratic-Republican"
"114","Henry Bellmon","Oklahoma","Republican"
"115","George H. Bender","Ohio","Republican"
"116","Christie Benet","South Carolina","Democratic"
"117","Judah P. Benjamin","Louisiana","Whig"
"118","Bob Bennett","Utah","Republican"
"119","Wallace F. Bennett","Utah","Republican"
"120","Alfred W. Benson","Kansas","Republican"
"121","Elmer Austin Benson","Minnesota","Farmer-Laborite"
"122","Thomas Hart Benton","Missouri","Democratic-Republican"
"123","William Benton","Connecticut","Democratic"
"124","Lloyd Bentsen","Texas","Democratic"
"125","John M. Berrien","Georgia","Democratic"
"126","George L. Berry","Tennessee","Democratic"
"127","James H. Berry","Arkansas","Democratic"
"128","Thaddeus Betts","Connecticut","Whig"
"129","Albert J. Beveridge","Indiana","Republican"
"130","George M. Bibb","Kentucky","Democratic-Republican"
"131","William W. Bibb","Georgia","Democratic-Republican"
"132","Alan Bible","Nevada","Democratic"
"133","Joe Biden","Delaware","Democratic"
"134","Asa Biggs","North Carolina","Democratic"
"135","William Bigler","Pennsylvania","Democratic"
"136","Theodore G. Bilbo","Mississippi","Democratic"
"137","Jeff Bingaman","New Mexico","Democratic"
"138","Hiram Bingham","Connecticut","Republican"
"139","Kinsley S. Bingham","Michigan","Republican"
"140","William Bingham","Pennsylvania","Federalist"
"141","Hugo Black","Alabama","Democratic"
"142","John Black","Mississippi","Democratic"
"143","Joseph C. S. Blackburn","Kentucky","Democratic"
"144","James G. Blaine","Maine","Republican"
"145","John J. Blaine","Wisconsin","Republican"
"146","Francis P. Blair Jr.","Missouri","Democratic"
"147","Henry W. Blair","New Hampshire","Republican"
"148","William A. Blakley","Texas","Democratic"
"149","Newton C. Blanchard","Louisiana","Democratic"
"150","Coleman L. Blease","South Carolina","Democratic"
"151","Jesse Bledsoe","Kentucky","Democratic-Republican"
"152","Rufus Blodgett","New Jersey","Democratic"
"153","Timothy Bloodworth","North Carolina","Democratic-Republican"
"154","William Blount","Tennessee","Democratic-Republican"
"155","Elijah Boardman","Connecticut","Democratic-Republican"
"156","J. Caleb Boggs","Delaware","Republican"
"157","Lewis V. Bogy","Missouri","Democratic"
