"","Senator","Year","State","Party"
"2","Joseph Carter Abbott","1868","North Carolina","Republican"
"3","Joseph Carter Abbott","1869","North Carolina","Republican"
"4","Joseph Carter Abbott","1870","North Carolina","Republican"
"5","Joseph Carter Abbott","1871","North Carolina","Republican"
"6","James Abdnor","1981","South Dakota","Republican"
"7","James Abdnor","1982","South Dakota","Republican"
"8","James Abdnor","1983","South Dakota","Republican"
"9","James Abdnor","1984","South Dakota","Republican"
"10","James Abdnor","1985","South Dakota","Republican"
"11","James Abdnor","1986","South Dakota","Republican"
"12","Hazel Abel","1954","Nebraska","Republican"
"13","James Abourezk","1973","South Dakota","Democratic"
"14","James Abourezk","1974","South Dakota","Democratic"
"15","James Abourezk","1975","South Dakota","Democratic"
"16","James Abourezk","1976","South Dakota","Democratic"
"17","James Abourezk","1977","South Dakota","Democratic"
"18","James Abourezk","1978","South Dakota","Democratic"
"19","Spencer Abraham","1995","Michigan","Republican"
"20","Spencer Abraham","1996","Michigan","Republican"
"21","Spencer Abraham","1997","Michigan","Republican"
"22","Spencer Abraham","1998","Michigan","Republican"
"23","Spencer Abraham","1999","Michigan","Republican"
"24","Spencer Abraham","2000","Michigan","Republican"
"25","John Adair","1805","Kentucky","Democratic-Republican"
"26","Alva B. Adams","1923","Colorado","Democratic"
"27","Brock Adams","1987","Washington","Democratic"
"28","Brock Adams","1988","Washington","Democratic"
"29","Brock Adams","1989","Washington","Democratic"
"30","Brock Adams","1990","Washington","Democratic"
"31","Brock Adams","1991","Washington","Democratic"
"32","Brock Adams","1992","Washington","Democratic"
"33","John Quincy Adams","1803","Massachusetts","Federalist"
"34","John Quincy Adams","1804","Massachusetts","Federalist"
"35","John Quincy Adams","1805","Massachusetts","Federalist"
"36","John Quincy Adams","1806","Massachusetts","Federalist"
"37","John Quincy Adams","1807","Massachusetts","Federalist"
"38","Robert H. Adams","1830","Mississippi","Democratic"
"39","Stephen Adams","1852","Mississippi","Democratic"
"40","Stephen Adams","1853","Mississippi","Democratic"
"41","Stephen Adams","1854","Mississippi","Democratic"
