"","State","Democratic","Republican"
"1","Alabama",0.41,0.6
"2","Alaska",0.17,0.83
"3","Arizona",0.19,0.8
"4","Arkansas",0.79,0.2
"5","California",0.84,0.16
"6","Colorado",0.57,0.43
"7","Connecticut",0.82,0.18
"8","Delaware",0.66,0.33
"9","Florida",0.6,0.38
"10","Georgia",0.54,0.45
"11","Hawaii",0.93,0.07
"12","Idaho",0.11,0.89
"13","Illinois",0.71,0.28
"14","Indiana",0.36,0.64
"15","Iowa",0.47,0.53
"16","Kansas",NA,1
"17","Kentucky",0.37,0.6
"18","Louisiana",0.81,0.2
"19","Maine",0.31,0.62
"20","Maryland",0.77,0.23
"21","Massachusetts",0.89,0.12
"22","Michigan",0.84,0.15
"23","Minnesota",0.58,0.41
"24","Mississippi",0.27,0.73
"25","Missouri",0.36,0.63
"26","Montana",0.78,0.23
"27","Nebraska",0.53,0.47
"28","Nevada",0.63,0.37
"29","New Hampshire",0.28,0.7
"30","New Jersey",0.91,0.11
"31","New Mexico",0.58,0.42
"32","New York",0.64,0.3
"33","North Carolina",0.32,0.68
"34","North Dakota",0.74,0.27
"35","Ohio",0.59,0.42
"36","Oklahoma",0.18,0.82
"37","Oregon",0.35,0.64
"38","Pennsylvania",0.17,0.83
"39","Rhode Island",0.69,0.31
"40","South Carolina",0.35,0.65
"41","South Dakota",0.53,0.47
"42","Tennessee",0.28,0.72
"43","Texas",0.24,0.77
"44","Utah",0.07,0.93
"45","Vermont",0.45,0.42
"46","Virginia",0.52,0.48
"47","Washington",0.76,0.24
"48","West Virginia",0.96,0.05
"49","Wisconsin",0.79,0.21
"50","Wyoming",0.07,0.92
