Senator,State,Party,first.years.range,second.years.range,third.years.range,fourth.years.range,fifth.years.range,political.parties,first.party,second.party,third.party,fourth.party,fifth.party
Richard Shelby,Alabama,Republican,1987,,,,,Republican,Republican,,,,
Doug Jones,Alabama,Democratic,2018,,,,,Democratic,Democratic,,,,
Lisa Murkowski,Alaska,Republican,2002,,,,,Republican,Republican,,,,
Dan Sullivan,Alaska,Republican,2015,,,,,Republican,Republican,,,,
Kyrsten Sinema,Arizona,Democratic,2019,,,,,Democratic,Democratic,,,,
Martha McSally[e],Arizona,Republican,2019,,,,,Republican,Republican,,,,
John Boozman,Arkansas,Republican,2011,,,,,Republican,Republican,,,,
Tom Cotton,Arkansas,Republican,2015,,,,,Republican,Republican,,,,
Dianne Feinstein,California,Democratic,1992,,,,,Democratic,Democratic,,,,
Kamala Harris,California,Democratic,2017,,,,,Democratic,Democratic,,,,
Michael Bennet,Colorado,Democratic,2009,,,,,Democratic,Democratic,,,,
Cory Gardner,Colorado,Republican,2015,,,,,Republican,Republican,,,,
Richard Blumenthal,Connecticut,Democratic,2011,,,,,Democratic,Democratic,,,,
Chris Murphy,Connecticut,Democratic,2013,,,,,Democratic,Democratic,,,,
Tom Carper,Delaware,Democratic,2001,,,,,Democratic,Democratic,,,,
Chris Coons,Delaware,Democratic,2010,,,,,Democratic,Democratic,,,,
Marco Rubio,Florida,Republican,2011,,,,,Republican,Republican,,,,
Rick Scott,Florida,Republican,2019,,,,,Republican,Republican,,,,
Johnny Isakson,Georgia,Republican,2005,,,,,Republican,Republican,,,,
David Perdue,Georgia,Republican,2015,,,,,Republican,Republican,,,,
Brian Schatz,Hawaii,Democratic,2012,,,,,Democratic,Democratic,,,,
Mazie Hirono,Hawaii,Democratic,2013,,,,,Democratic,Democratic,,,,
Mike Crapo,Idaho,Republican,1999,,,,,Republican,Republican,,,,
Jim Risch,Idaho,Republican,2009,,,,,Republican,Republican,,,,
Dick Durbin,Illinois,Democratic,1997,,,,,Democratic,Democratic,,,,
Tammy Duckworth,Illinois,Democratic,2017,,,,,Democratic,Democratic,,,,
Todd Young,Indiana,Republican,2017,,,,,Republican,Republican,,,,
Mike Braun,Indiana,Republican,2019,,,,,Republican,Republican,,,,
Chuck Grassley,Iowa,Republican,1981,,,,,Republican,Republican,,,,
Joni Ernst,Iowa,Republican,2015,,,,,Republican,Republican,,,,
Pat Roberts,Kansas,Republican,1997,,,,,Republican,Republican,,,,
Jerry Moran,Kansas,Republican,2011,,,,,Republican,Republican,,,,
Mitch McConnell,Kentucky,Republican,1985,,,,,Republican,Republican,,,,
Rand Paul,Kentucky,Republican,2011,,,,,Republican,Republican,,,,
Bill Cassidy,Louisiana,Republican,2015,,,,,Republican,Republican,,,,
John Kennedy,Louisiana,Republican,2017,,,,,Republican,Republican,,,,
Susan Collins,Maine,Republican,1997,,,,,Republican,Republican,,,,
Angus King,Maine,Independent,2013,,,,,Independent,Independent,,,,
Ben Cardin,Maryland,Democratic,2007,,,,,Democratic,Democratic,,,,
Chris Van Hollen,Maryland,Democratic,2017,,,,,Democratic,Democratic,,,,
Elizabeth Warren,Massachusetts,Democratic,2013,,,,,Democratic,Democratic,,,,
