Senator,State,Party,Occupation,Lawyer,Education,Business,Military,Nonprofit,Politics,Medicine,Year,Seat up
Richard Shelby,Alabama,Republican,Lawyer,1,0,0,0,0,0,0,1987,2022
Doug Jones,Alabama,Democratic,Lawyer,1,0,0,0,0,0,0,2018,2020
Lisa Murkowski,Alaska,Republican,Lawyer,1,0,0,0,0,0,0,2002,2022
Dan Sullivan,Alaska,Republican,"U.S. Marine Officer, Lawyer",1,0,0,1,0,0,0,2015,2020
Kyrsten Sinema,Arizona,Democratic,"Social Worker, Political Activist",0,1,0,0,0,1,0,2019,2024
Martha McSally[e],Arizona,Republican,U.S. Air Force Officer,0,0,0,1,0,0,0,2019,2020
John Boozman,Arkansas,Republican,Optometrist,0,0,0,0,0,0,1,2011,2022
Tom Cotton,Arkansas,Republican,Lawyer U.S. Army Officer,1,0,0,1,0,0,0,2015,2020
Dianne Feinstein,California,Democratic,Non-profit organization fellow,0,0,0,0,1,0,0,1992,2024
Kamala Harris,California,Democratic,Lawyer,1,0,0,0,0,0,0,2017,2022
Michael Bennet,Colorado,Democratic,Public School Administrator,0,1,0,0,0,0,0,2009,2022
Cory Gardner,Colorado,Republican,"Lawyer, Businessperson",1,0,1,0,0,0,0,2015,2020
Richard Blumenthal,Connecticut,Democratic,"Marine Corps Reserve Sergeant, Senate staffer, Lawyer",1,0,0,1,0,1,0,2011,2022
Chris Murphy,Connecticut,Democratic,"Lawyer, Political campaign manager",1,0,0,0,0,1,0,2013,2024
Tom Carper,Delaware,Democratic,"U.S. Navy officer, Delaware Office of Economic Development",0,0,0,1,0,1,0,2001,2024
Chris Coons,Delaware,Democratic,"Nonprofit organization executive, Lawyer",1,0,0,0,1,0,0,2010,2020
Marco Rubio,Florida,Republican,Lawyer,1,0,1,0,0,0,0,2011,2022
Rick Scott,Florida,Republican,"Lawyer, Columbia/HCACEO, Venture Capitalist",0,0,1,0,0,0,0,2019,2024
Johnny Isakson,Georgia,Republican,Real estate broker,0,0,1,0,0,0,0,2005,2022
David Perdue,Georgia,Republican,Corporate executive,0,0,0,0,1,0,0,2015,2020
Brian Schatz,Hawaii,Democratic,Nonprofit organization executive,0,0,0,0,1,0,0,2012,2022
Mazie Hirono,Hawaii,Democratic,Lawyer,1,0,0,0,0,0,0,2013,2024
Mike Crapo,Idaho,Republican,Lawyer,1,0,0,0,0,0,0,1999,2022
Jim Risch,Idaho,Republican,"Professor, RancherNonprofit organization executive",0,1,0,0,1,0,0,2009,2020
Dick Durbin,Illinois,Democratic,"Lawyer, Professor",1,1,0,0,0,0,0,1997,2020
Tammy Duckworth,Illinois,Democratic,"National Guard officer, Rotary International Staff supervisor",0,0,0,1,0,0,0,2017,2022
Todd Young,Indiana,Republican,"Marine Corps rifleman, Naval intelligence officer, Professor, Consultant",0,1,1,1,0,0,0,2017,2022
Mike Braun,Indiana,Republican,Businessman,0,0,1,0,0,0,0,2019,2024
Chuck Grassley,Iowa,Republican,"Farmer, professor",0,1,0,0,0,0,0,1981,2022
Joni Ernst,Iowa,Republican,"Farmer, National Guard officer",0,0,0,1,0,0,0,2015,2020
Pat Roberts,Kansas,Republican,"United States Marine Corpsofficer, Journalist, ",0,0,0,1,0,0,0,1997,2020
Jerry Moran,Kansas,Republican,"Banker, Lawyer",1,0,1,0,0,0,0,2011,2022
Mitch McConnell,Kentucky,Republican,"Lawyer, U.S. Senate staff member",1,0,0,0,0,1,0,1985,2020
Rand Paul,Kentucky,Republican,Ophthalmologist,0,0,0,0,0,0,1,2011,2022
Bill Cassidy,Louisiana,Republican,Physician,0,0,0,0,0,0,1,2015,2020
John Kennedy,Louisiana,Republican,"Magazine editor, Lawyer, Professor",1,1,0,0,0,0,0,2017,2022
Susan Collins,Maine,Republican,"House staffer, Senate staffer, Regional director, SBA, Nonprofit organization executive",0,0,0,0,1,1,0,1997,2020
Angus King,Maine,Independent,"Lawyer, Senate staffer, Business founder, Corporate executive, Public television news program host",1,0,1,0,0,1,0,2013,2024
Ben Cardin,Maryland,Democratic,Lawyer,1,0,0,0,0,0,0,2007,2024
Chris Van Hollen,Maryland,Democratic,"U.S. Senate staff member, Lawyer",1,0,0,0,0,1,0,2017,2022
Elizabeth Warren,Massachusetts,Democratic,"Lawyer, Professor, Research associate, Nonprofit organization executive",1,1,0,0,1,0,0,2013,2024
Ed Markey,Massachusetts,Democratic,"United States Army Reserve, Lawyer",1,0,0,1,0,0,0,2013,2020
Debbie Stabenow,Michigan,Democratic,"Social worker, Leadership training consultant",0,1,1,0,0,0,0,2001,2024
